"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Armstrong A.W.; Park S.H.; Patel V.; Nicolas P.; Wang W.-J.; Colombo M.J.; Chirikov V.","Armstrong, April W. (35239601400); Park, Sang Hee (57203880190); Patel, Vardhaman (57206948466); Nicolas, Pierre (59183316300); Wang, Wei-Jhih (57189853766); Colombo, Matthew J. (57417567100); Chirikov, Viktor (55223911300)","35239601400; 57203880190; 57206948466; 59183316300; 57189853766; 57417567100; 55223911300","Cumulative Benefit Over 52 Weeks With Deucravacitinib Versus Apremilast in Moderate to Severe Plaque Psoriasis: POETYK PSO-1 Post Hoc Analysis","2024","Dermatology and Therapy","14","7","","1891","1899","8","0","10.1007/s13555-024-01201-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196648423&doi=10.1007%2fs13555-024-01201-4&partnerID=40&md5=56f0bf0592c7b8b28c490239a3e6694f","Keck School of Medicine, University of Southern California, Los Angeles, CA, United States; Bristol Myers Squibb, Princeton, NJ, United States; Bristol Myers Squibb, Boudry, Switzerland; OPEN Health Evidence & amp; Access, Hingham, MA, United States; University of California Los Angeles, Los Angeles, CA, United States","Armstrong A.W., Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, University of California Los Angeles, Los Angeles, CA, United States; Park S.H., Bristol Myers Squibb, Princeton, NJ, United States; Patel V., Bristol Myers Squibb, Princeton, NJ, United States; Nicolas P., Bristol Myers Squibb, Boudry, Switzerland; Wang W.-J., OPEN Health Evidence & amp; Access, Hingham, MA, United States; Colombo M.J., Bristol Myers Squibb, Princeton, NJ, United States; Chirikov V., OPEN Health Evidence & amp; Access, Hingham, MA, United States","Introduction: Deucravacitinib demonstrated superior efficacy to apremilast in patients with moderate to severe plaque psoriasis in the POETYK PSO-1 and PSO-2 clinical trials. In the study reported here, we aimed to determine the overall 52-week cumulative clinical benefit of treatment initiated with deucravacitinib versus apremilast and to compare the 52-week cumulative benefit of initiating and staying on deucravacitinib versus initiating apremilast and continuing or switching to deucravacitinib at week 24 of treatment. Methods: This post hoc analysis of POETYK PSO-1 data (ClinicalTrials.gov identifier: NCT03624127) determined the cumulative clinical benefit of deucravacitinib 6 mg once daily and apremilast 30 mg twice daily in adults with moderate to severe plaque psoriasis. Patients treated with apremilast who did not achieve a 50% reduction in the Psoriasis Area and Severity Index (PASI 50) at week 24 were switched to deucravacitinib. The cumulative clinical benefit of deucravacitinib versus apremilast over 52 weeks was based on cumulative measures of ≥ 75% improvement from baseline in PASI score (PASI 75) and the proportion of patients with a static Physician Global Assessment score of 0 or 1 (sPGA 0/1). Ratios of area under the curve estimates between treatments were calculated and compared based on analysis of covariance regression models. Results: Patients initiating deucravacitinib (N = 332) had a greater cumulative benefit as measured by the PASI 75 and sPGA 0/1 than those initiating apremilast (N = 168). Over 52 weeks, those initiating deucravacitinib experienced 50% more benefit as measured by PASI 75 and 58% more benefit as measured by sPGA 0/1 than those initiating apremilast. Results were consistent with the primary analysis when patients were classified by prior systemic and prior biologic therapy exposure. Conclusion: Results from this analysis corroborate the primary efficacy analysis supporting the use of deucravacitinib compared with apremilast for moderate to severe plaque psoriasis, regardless of prior systemic or biologic use. © The Author(s) 2024.","Apremilast, cumulative clinical benefit; Deucravacitinib; Oral treatments; Psoriasis; Small molecules","apremilast; deucravacitinib; adult; area under the curve; Article; biological therapy; clinical assessment; comparative study; controlled study; disease severity; drug substitution; drug withdrawal; female; human; major clinical study; male; middle aged; patient coding; post hoc analysis; psoriasis; Psoriasis Area and Severity Index; static physician global assessment score; study design; systemic therapy; treatment outcome","Adis","","","","","","21938210","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85196648423"
"Zheng W.; Doerr B.","Zheng, Weijie (57188811455); Doerr, Benjamin (56279123400)","57188811455; 56279123400","Hot off the Press: Runtime Analysis for the NSGA-II: Proving, Quantifying, and Explaining the Inefficiency For Many Objectives","2024","GECCO 2024 Companion - Proceedings of the 2024 Genetic and Evolutionary Computation Conference Companion","","","","67","68","1","0","10.1145/3638530.3664061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201979280&doi=10.1145%2f3638530.3664061&partnerID=40&md5=f75d03142be3ba100a2ec14762fc0580","School of Computer Science and Technology, International Research Institute for Artificial Intelligence, Harbin Institute of Technology, Shenzhen, China; Laboratoire d'Informatique (LIX), École Polytechnique, CNRS, Institut Polytechnique de Paris, Palaiseau, France","Zheng W., School of Computer Science and Technology, International Research Institute for Artificial Intelligence, Harbin Institute of Technology, Shenzhen, China; Doerr B., Laboratoire d'Informatique (LIX), École Polytechnique, CNRS, Institut Polytechnique de Paris, Palaiseau, France","The NSGA-II is one of the most prominent algorithms to solve multi-objective optimization problems. Despite numerous successful applications, several studies have shown that the NSGA-II is less effective for larger numbers of objectives. In this work, we use mathematical runtime analyses to rigorously demonstrate and quantify this phenomenon. We show that even on the simple m-objective generalization of the discrete OneMinMax benchmark, where every solution is Pareto optimal, the NSGA-II also with large population sizes cannot compute the full Pareto front (objective vectors of all Pareto optima) in sub-exponential time when the number of objectives is at least three. The reason for this unexpected behavior lies in the fact that in the computation of the crowding distance, the different objectives are regarded independently. This is not a problem for two objectives, where any sorting of a pair-wise incomparable set of solutions according to one objective is also such a sorting according to the other objective (in the inverse order).This paper for the Hot-off-the-Press track at GECCO 2024 summarizes the work Weijie Zheng, Benjamin Doerr: Runtime Analysis for the NSGA-II: Proving, Quantifying, and Explaining the Inefficiency For Many Objectives. IEEE Transactions on Evolutionary Computation, in press. https://doi.org/10.1109/TEVC.2023.3320278 [23].  © 2024 Copyright held by the owner/author(s).","many-objective optimization; NSGA-II; runtime analysis; theory","Benchmarking; Evolutionary algorithms; Inverse problems; Multiobjective optimization; Optimization algorithms; Pareto principle; Generalisation; Large population; Many-objective optimizations; Multi-objective optimization problem; NSGA-II; Pareto-optimal; Population sizes; Run-time analysis; Simple++; Theory; Presses (machine tools)","Association for Computing Machinery, Inc","Special Interest Group on Genetic and Evolutionary Computation (ACM SIGEVO)","2024 Genetic and Evolutionary Computation Conference Companion, GECCO 2024 Companion","14 July 2024 through 18 July 2024","Melbourne","201625","","979-840070495-6","","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85201979280"
"Teng Y.; Yang K.","Teng, Yue (57547036800); Yang, Kai (51461392600)","57547036800; 51461392600","Research on Social Recommendation Algorithm Based on PSO_KFCM Clustering and CBAM Attention Mechanism of Graph Neural Networks","2024","IAENG International Journal of Computer Science","51","8","","936","948","12","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200863783&partnerID=40&md5=a49819e4cdfff1bb272735737d2ce6df","School of Computer Science and Software Engineering, University of Science and Technology Liaoning, Anshan, 114051, China; School of Computer Science and Software Engineering, University of Science and Technology Liaoning, Anshan, 114051, China","Teng Y., School of Computer Science and Software Engineering, University of Science and Technology Liaoning, Anshan, 114051, China; Yang K., School of Computer Science and Software Engineering, University of Science and Technology Liaoning, Anshan, 114051, China","In today's society, people increasingly need information acquisition due to the rapid development of science and technology and the consequent increase in available data. However, finding the information users need from this vast data has become challenging. To tackle this problem, recommending preferred information to users is becoming increasingly important. However, accurately recommending information by analyzing existing models such as GraphRec is still a challenging problem. A method called PSO_KFCM is proposed in this paper to solve this problem better. The technique combines Particle Swarm Optimization (PSO) with hybrid optimization and the kernel fuzzy C-means clustering technique to cluster similar recommendation data into one class. This way, the complexity and randomness of the recommendation data are reduced. It improves the speed and accuracy of the model prediction, which lays a solid foundation for the subsequent recommendation. Various factors will impact the recommendation process, and channel and spatial characteristics are essential. CBAM attention is added to the original attention mechanism to fully utilize these features in the recommendation data to enhance its performance. Furthermore, this paper proposes a social recommendation prediction method that combines CBAM attention and PSO_KFCM clustering and introduces a new social model called TTYGNN. The TTYGNN model optimizes the recommendation effect while maintaining the original advantages, enabling users to obtain the required information more quickly and accurately. To verify the effectiveness and practicality of the proposed model, extensive experimental comparisons were conducted on two widely used datasets. The results show that the TTYGNN model outperforms similar methods in all indicators, proving its superiority in information recommendation. © (2024), (International Association of Engineers). All Rights Reserved.","CBAM Attention Mechanism; Fuzzy clustering; Graph neural network; Recommendation system","C (programming language); Fuzzy inference; Fuzzy neural networks; Graph neural networks; Particle swarm optimization (PSO); Recommender systems; Attention mechanisms; CBAM attention mechanism; Clusterings; Development of science and technologies; Graph neural networks; Information acquisitions; Information users; Particle swarm; Recommendation algorithms; Swarm optimization; Fuzzy clustering","International Association of Engineers","","","","","","1819656X","","","Article","Final","","Scopus","2-s2.0-85200863783"
"Marchetti F.; Pietropolli G.; Camerota Verdù F.J.; Castelli M.; Minisci E.","Marchetti, Francesco (57215272993); Pietropolli, Gloria (57642608800); Camerota Verdù, Federico Julian (57211455745); Castelli, Mauro (36052209100); Minisci, Edmondo (6506737502)","57215272993; 57642608800; 57211455745; 36052209100; 6506737502","Automatic design of interpretable control laws through parametrized Genetic Programming with adjoint state method gradient evaluation","2024","Applied Soft Computing","159","","111654","","","","1","10.1016/j.asoc.2024.111654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192055473&doi=10.1016%2fj.asoc.2024.111654&partnerID=40&md5=a3c435713729e366e7f7647d701bbe08","Department of Guidance, Navigation and Control Systems, German Aerospace Centre (DLR), Institute of Space Systems, Robert-Hooke-Straße 7, Bremen, 28359, Germany; Dipartimento di Matematica e Geoscienze, Università degli Studi di Trieste, H2bis Building, Via Alfonso Valerio 12/1, TS, Trieste, 34127, Italy; NOVA Information Management School (NOVA IMS), Universidade NOVA de Lisboa, Campus de Campolide, Lisbon, 1070-312, Portugal; Intelligent Computational Engineering Laboratory (ICE-Lab), Department of Mechanical and Aerospace Engineering, University of Strathclyde, 75 Montrose Street, Scotland, Glasgow, G1 1XJ, United Kingdom","Marchetti F., Department of Guidance, Navigation and Control Systems, German Aerospace Centre (DLR), Institute of Space Systems, Robert-Hooke-Straße 7, Bremen, 28359, Germany; Pietropolli G., Dipartimento di Matematica e Geoscienze, Università degli Studi di Trieste, H2bis Building, Via Alfonso Valerio 12/1, TS, Trieste, 34127, Italy; Camerota Verdù F.J., Dipartimento di Matematica e Geoscienze, Università degli Studi di Trieste, H2bis Building, Via Alfonso Valerio 12/1, TS, Trieste, 34127, Italy; Castelli M., NOVA Information Management School (NOVA IMS), Universidade NOVA de Lisboa, Campus de Campolide, Lisbon, 1070-312, Portugal; Minisci E., Intelligent Computational Engineering Laboratory (ICE-Lab), Department of Mechanical and Aerospace Engineering, University of Strathclyde, 75 Montrose Street, Scotland, Glasgow, G1 1XJ, United Kingdom","This work investigates the application of a Local Search (LS) enhanced Genetic Programming (GP) algorithm to the control scheme's design task. The combination of LS and GP aims to produce an interpretable control law as similar as possible to the optimal control scheme reference. Inclusive Genetic Programming (IGP), a GP heuristic capable of promoting and maintaining the population diversity, is chosen as the GP algorithm since it proved successful on the considered task. IGP is enhanced with the Operators Gradient Descent (OPGD) approach, which consists of embedding learnable parameters into the GP individuals. These parameters are optimized during and after the evolutionary process. Moreover, the OPGD approach is combined with the adjoint state method to evaluate the gradient of the objective function. The original OPGD was formulated by relying on the backpropagation technique for the gradient's evaluation, which is impractical in an optimization problem involving a dynamical system because of scalability and numerical errors. On the other hand, the adjoint method allows for overcoming this issue. Two experiments are formulated to test the proposed approach, named Operator Gradient Descent - Inclusive Genetic Programming (OPGD-IGP): the design of a Proportional–Derivative (PD) control law for a harmonic oscillator and the design of a Linear Quadratic Regulator (LQR) control law for an inverted pendulum on a cart. OPGD-IGP proved successful in both experiments, being capable of autonomously designing an interpretable control law similar to the optimal ones, both in terms of shape and control gains. © 2024 The Author(s)","Adjoint state method; Control; Genetic Programming; Gradient descent","Control theory; Dynamical systems; Genetic algorithms; Gradient methods; Inverted pendulum; Adjoint state method; Adjoints; Automatic design; Control laws; Control schemes; Design tasks; Genetic programming algorithms; Gradient-descent; Local search; Scheme design; Genetic programming","Elsevier Ltd","","","","","","15684946","","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192055473"
"Xiaona X.; Wanxue Q.","Xiaona, Xia (8386552700); Wanxue, Qi (59179309600)","8386552700; 59179309600","Exploring the synergy of improved convolutional neural networks and attention mechanisms for potential STEM knowledge concept recommendation in MOOCs; [Explorar la sinergia entre las redes neuronales de convolución mejoradas y los mecanismos de atención recomendados por posibles conceptos de conocimiento STEM en MOOCs]","2024","Revista de Psicodidactica","29","2","","185","203","18","3","10.1016/j.psicod.2024.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196419178&doi=10.1016%2fj.psicod.2024.04.003&partnerID=40&md5=c2c790f90d3fff4c682b4b6cefd1493c","Facultad de Educación, Universidad Normal de Qufu, Shandong, Qufu, 273165, China; Academia China de Big Data Educativo, Universidad Normal de Qufu, Shandong, Qufu, 273165, China","Xiaona X., Facultad de Educación, Universidad Normal de Qufu, Shandong, Qufu, 273165, China, Academia China de Big Data Educativo, Universidad Normal de Qufu, Shandong, Qufu, 273165, China; Wanxue Q., Facultad de Educación, Universidad Normal de Qufu, Shandong, Qufu, 273165, China, Academia China de Big Data Educativo, Universidad Normal de Qufu, Shandong, Qufu, 273165, China","The multi course association of STEM poses an important challenge to the learning background of learners. Once learners do not have sufficient understanding of knowledge association or do not implement the topological order of knowledge advancement, they are prone to burnout in the learning process, forming serious negative emotions, which is not conducive to learning effectiveness, and even premature dropout. This is clearly a psychological teaching problem, that is our research objectives. This study focuses on the STEM learning behaviors in MOOCs, and explores the deep learning routing. We design one novel method to process the context features and content features for knowledge concept recommendation. Multiple entities, features, and courses enable the construction and optimization of knowledge concept relationships. Then, an attention mechanism is used to achieve the knowledge concept propagation between different entities. The extensive experiments have proved this method might accurately capture potential interests of knowledge concepts, achieve the effective deep learning routing, and explore and guide the positive learning state, reduce or avoid the negative psychological outcomes, such as dropout or low pass rate. The entire study aims to enhance learning outcomes, improve learning motivation, optimize learning behaviors, and provide more effective suggestions for STEM education, that is very important for the interdisciplinary learning in higher education. The whole research might provide key support for tracking possible psychological changes in learners, improving learning behavior trends, and enhance learning quality during STEM learning, fully improve and optimize the learning state, construct effective decisions for positive learning interests. © 2024 Universidad de País Vasco","Deep Learning; Graph Convolution Neural Network; Knowledge Concept; Positive Learning Psychology; Potential Interest Recommendation; STEM","","Escuela Universitaria de Magisterio","","","","","","11361034","","","Article","Final","","Scopus","2-s2.0-85196419178"
"Rivadulla A.","Rivadulla, Andrés (15069885800)","15069885800","Imagination in Scientific Reasoning: Theoretical Innovation and Scientific Explanation on the Example of Atomic Physics; [Imaginación en el razonamiento científico: innovación teórica y explicación científica en el ejemplo de la física atómica]","2024","Revista Guillermo de Ockham","22","2","","19","39","20","0","10.21500/22563202.6795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202587352&doi=10.21500%2f22563202.6795&partnerID=40&md5=3159378842ffa75cfcd6527e006a7bb1","Department of Logic and Theoretical Philosophy, Faculty of Philosophy, Complutense University of Madrid, Madrid, Spain","Rivadulla A., Department of Logic and Theoretical Philosophy, Faculty of Philosophy, Complutense University of Madrid, Madrid, Spain","This article aims to show the great variety of ways in which new ideas enter science; ideas that must pass both the critical examination of the scientific community and the filter of empirical contrast. The community itself is aware of the role that conjectures, intuitions, and imagination play in the advancement of science. A fundamental role in the context of discovery is played by abduction, a form of reasoning that serves the purposes of theoretical innovation and scientific explanation, which I illustrate by focusing on the anomalous Zeeman effect, which is very appropriate to the case. But I also point out that in preductive reasoning, a genuinely deductive form of inter-theoretical reasoning, imagination, and luck should not be excluded when choosing the theoretical elements whose step-by-step combination leads to a novel theoretical result. © 2024. Universidad de San Buenaventura Cali.","abductive reasoning; conjectures; creative imagination in science; essays; explanation; history of ancient atomic physics; hypothetical reasoning; scientific discovery; the anomalous Zeeman effect; theoretical innovation; theoretical preduction","","University of San Buenaventura - Cali","","","","","","1794192X","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202587352"
"Fyvie M.; McCall J.A.W.; Christie L.A.; Brownlee A.E.I.; Singh M.","Fyvie, Martin (57225882402); McCall, John A. W. (36797474900); Christie, Lee A. (55976174400); Brownlee, Alexander E. I. (19638592200); Singh, Manjinder (57693048600)","57225882402; 36797474900; 55976174400; 19638592200; 57693048600","Towards explainable metaheuristics: Feature extraction from trajectory mining","2025","Expert Systems","42","1","e13494","","","","2","10.1111/exsy.13494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175704441&doi=10.1111%2fexsy.13494&partnerID=40&md5=cab5c1fe6156a7d8ea706189f3352940","National Subsea Centre, Robert Gordon University, Aberdeen, United Kingdom; Division of Computing Science and Mathematics, University of Stirling, Stirling, United Kingdom","Fyvie M., National Subsea Centre, Robert Gordon University, Aberdeen, United Kingdom; McCall J.A.W., National Subsea Centre, Robert Gordon University, Aberdeen, United Kingdom; Christie L.A., National Subsea Centre, Robert Gordon University, Aberdeen, United Kingdom; Brownlee A.E.I., Division of Computing Science and Mathematics, University of Stirling, Stirling, United Kingdom; Singh M., Division of Computing Science and Mathematics, University of Stirling, Stirling, United Kingdom","Explaining the decisions made by population-based metaheuristics can often be considered difficult due to the stochastic nature of the mechanisms employed by these optimisation methods. As industries continue to adopt these methods in areas that increasingly require end-user input and confirmation, the need to explain the internal decisions being made has grown. In this article, we present our approach to the extraction of explanation supporting features using trajectory mining. This is achieved through the application of principal components analysis techniques to identify new methods of tracking population diversity changes post-runtime. The algorithm search trajectories were generated by solving a set of benchmark problems with a genetic algorithm and a univariate estimation of distribution algorithm and retaining all visited candidate solutions which were then projected to a lower dimensional sub-space. We also varied the selection pressure placed on high fitness solutions by altering the selection operators. Our results show that metrics derived from the projected sub-space algorithm search trajectories are capable of capturing key learning steps and how solution variable patterns that explain the fitness function may be captured in the principal component coefficients. A comparative study of variable importance rankings derived from a surrogate model built on the same dataset was also performed. The results show that both approaches are capable of identifying key features regarding variable interactions and their influence on fitness in a complimentary fashion. © 2023 The Authors. Expert Systems published by John Wiley & Sons Ltd.","evolutionary algorithms; explainability; PCA; population diversity","Expert systems; Extraction; Genetic algorithms; Heuristic algorithms; Principal component analysis; Stochastic systems; End-users; Explainability; Features extraction; Metaheuristic; Optimization method; PCA; Population diversity; Stochastic nature; Trajectory minings; User input; Trajectories","John Wiley and Sons Inc","","","","","","02664720","","EXSYE","Article","Final","","Scopus","2-s2.0-85175704441"
"Dihmani H.; Bousselham A.; Bouattane O.","Dihmani, Hanane (57571148000); Bousselham, Abdelmajid (8657730200); Bouattane, Omar (6506839198)","57571148000; 8657730200; 6506839198","A New Computer-Aided Diagnosis System for Breast Cancer Detection from Thermograms Using Metaheuristic Algorithms and Explainable AI","2024","Algorithms","17","10","462","","","","3","10.3390/a17100462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207635177&doi=10.3390%2fa17100462&partnerID=40&md5=22dea0048e783a3716d60ba55df4f51d","Electrical Engineering and Intelligent Systems, Ecole Normale Supérieure de l’Enseignement Technique, University Hassan II, Mohammedia, 20650, Morocco; Computer Science, Artificial Intelligence and Cyber Security, Ecole Normale Supérieure de l’Enseignement Technique, University Hassan II, Mohammedia, 20650, Morocco","Dihmani H., Electrical Engineering and Intelligent Systems, Ecole Normale Supérieure de l’Enseignement Technique, University Hassan II, Mohammedia, 20650, Morocco; Bousselham A., Computer Science, Artificial Intelligence and Cyber Security, Ecole Normale Supérieure de l’Enseignement Technique, University Hassan II, Mohammedia, 20650, Morocco; Bouattane O., Electrical Engineering and Intelligent Systems, Ecole Normale Supérieure de l’Enseignement Technique, University Hassan II, Mohammedia, 20650, Morocco","Advances in the early detection of breast cancer and treatment improvements have significantly increased survival rates. Traditional screening methods, including mammography, MRI, ultrasound, and biopsies, while effective, often come with high costs and risks. Recently, thermal imaging has gained attention due to its minimal risks compared to mammography, although it is not widely adopted as a primary detection tool since it depends on identifying skin temperature changes and lesions. The advent of machine learning (ML) and deep learning (DL) has enhanced the effectiveness of breast cancer detection and diagnosis using this technology. In this study, a novel interpretable computer aided diagnosis (CAD) system for breast cancer detection is proposed, leveraging Explainable Artificial Intelligence (XAI) throughout its various phases. To achieve these goals, we proposed a new multi-objective optimization approach named the Hybrid Particle Swarm Optimization algorithm (HPSO) and Hybrid Spider Monkey Optimization algorithm (HSMO). These algorithms simultaneously combined the continuous and binary representations of PSO and SMO to effectively manage trade-offs between accuracy, feature selection, and hyperparameter tuning. We evaluated several CAD models and investigated the impact of handcrafted methods such as Local Binary Patterns (LBP), Histogram of Oriented Gradients (HOG), Gabor Filters, and Edge Detection. We further shed light on the effect of feature selection and optimization on feature attribution and model decision-making processes using the SHapley Additive exPlanations (SHAP) framework, with a particular emphasis on cancer classification using the DMR-IR dataset. The results of our experiments demonstrate in all trials that the performance of the model is improved. With HSMO, our models achieved an accuracy of 98.27% and F1-score of 98.15% while selecting only 25.78% of the HOG features. This approach not only boosts the performance of CAD models but also ensures comprehensive interpretability. This method emerges as a promising and transparent tool for early breast cancer diagnosis. © 2024 by the authors.","binary; breast cancer detection; continuous; feature attribution; feature extraction; feature selection; HPSO; HSMO; hyperparameter tuning; multi-objective optimization; thermography; XAI","Diseases; Feature Selection; Gabor filters; Lung cancer; Magnetic resonance imaging; Mammography; Oncology; Screening; Thermography (imaging); Thermography (temperature measurement); Ultrasonic imaging; Binary; Breast cancer detection; Continuous; Feature attribution; Features extraction; Features selection; Hybrid particle swarm optimization algorithm; Hybrid spider monkey optimization algorithm; Hyper-parameter; Hyperparameter tuning; Multi-objectives optimization; Optimization algorithms; Thermography; XAI; Particle swarm optimization (PSO)","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","19994893","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207635177"
"Ghajari A.; Ros S.; Pérez Á.","Ghajari, Adrián (58408031400); Ros, Salvador (7005158730); Pérez, Álvaro (57222025738)","58408031400; 7005158730; 57222025738","Querying the Depths: Unveiling the Strengths and Struggles of Large Language Models in SPARQL Generation; [Explorando las Profundidades: Revelando las Fortalezas y Desafíos de los Modelos de Lenguaje de Gran Escala en la Generación de SPARQL]","2024","Procesamiento del Lenguaje Natural","","73","","271","281","10","0","10.26342/2024-73-20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206510658&doi=10.26342%2f2024-73-20&partnerID=40&md5=65474a178c3faf6cc013180b27942e98","Spanish National University of Distance Education, Spain","Ghajari A., Spanish National University of Distance Education, Spain; Ros S., Spanish National University of Distance Education, Spain; Pérez Á., Spanish National University of Distance Education, Spain","The emergence of the Semantic Web has precipitated a proliferation of structured data manifested in the form of knowledge graphs, underscoring the imperative of natural language interfaces to enhance accessibility to these repositories of information. The capacity to articulate queries in natural language and subsequently retrieve data through SPARQL queries assumes paramount importance. In the present investigation, we have scrutinized the efficacy of in-context learning based on an agent-based architecture in facilitating the construction of SPARQL queries. Contrary to initial expectations, the augmentation of in-context learning prompts through agent-based mechanisms has been found to diminish the efficacy of Language Model-based Systems (LLMS), as it is perceived as extraneous”noise,” thereby delineating the constraints inherent in this approach. The results highlight the need to delve deeper into the intricacies of model training and fine-tuning, focusing on the relational aspects of ontology schemas. © 2024 Sociedad Española para el Procesamiento del Lenguaje Natural.","Agents; Knowledge Retrieval; Prompt Engineering; SPARQL Queries","","Sociedad Espanola para el Procesamiento del Lenguaje Natural","","","","","","11355948","","","Article","Final","","Scopus","2-s2.0-85206510658"
"Liu W.-L.; Zhong J.; Liang P.; Guo J.; Zhao H.; Zhang J.","Liu, Wei-Li (55203063900); Zhong, Jinghui (12241701400); Liang, Peng (57201284947); Guo, Jianhua (56828370300); Zhao, Huimin (59125750000); Zhang, Jun (57834086800)","55203063900; 12241701400; 57201284947; 56828370300; 59125750000; 57834086800","Towards explainable traffic signal control for urban networks through genetic programming","2024","Swarm and Evolutionary Computation","88","","101588","","","","23","10.1016/j.swevo.2024.101588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192989951&doi=10.1016%2fj.swevo.2024.101588&partnerID=40&md5=7bb492048d3a12e8e9cd228b9bdb8f29","Guangdong Polytechnic Normal University, 293 Zhongshan Avenue West, Tianhe District, Guangzhou, 510665, Guangdong, China; South China University of Technology, Guangzhou Higher Education Mega Center, Panyu District, Guangzhou, 510006, Guangdong, China; Nankai University, No. 94 Weijin Road, Nankai District, 300350, Tianjin, China; Hanyang University, 55 Hanyangdeahak-ro, Sangnok-gu, Gyeonggi-do, Ansan, 15588, South Korea","Liu W.-L., Guangdong Polytechnic Normal University, 293 Zhongshan Avenue West, Tianhe District, Guangzhou, 510665, Guangdong, China; Zhong J., South China University of Technology, Guangzhou Higher Education Mega Center, Panyu District, Guangzhou, 510006, Guangdong, China; Liang P., Guangdong Polytechnic Normal University, 293 Zhongshan Avenue West, Tianhe District, Guangzhou, 510665, Guangdong, China; Guo J., Guangdong Polytechnic Normal University, 293 Zhongshan Avenue West, Tianhe District, Guangzhou, 510665, Guangdong, China; Zhao H., Guangdong Polytechnic Normal University, 293 Zhongshan Avenue West, Tianhe District, Guangzhou, 510665, Guangdong, China; Zhang J., Nankai University, No. 94 Weijin Road, Nankai District, 300350, Tianjin, China, Hanyang University, 55 Hanyangdeahak-ro, Sangnok-gu, Gyeonggi-do, Ansan, 15588, South Korea","The increasing number of vehicles in urban areas draws significant attention to traffic signal control (TSC), which can enhance the efficiency of the entire network by properly switching the phases of each signalized intersection. Fixed and max-pressure methods are commonly used in TSC systems owing to their high simplicity and good interpretability, but they respectively lack dynamic adaptability and automatic rule generation, possibly leading to low solution accuracy in complicated traffic environments. Meanwhile, meta-heuristic and black-box learning methods meet challenges in practice such as extensive computational time and poor interpretability. To this end, this paper proposes a new TSC method based on Genetic Programming (GP) to generate descriptive score rules automatically for switching phases of all signalized intersections in an urban transportation network. In the proposed method, switching phases of each signalized intersection type is formulated as a symbolic regression problem, and effective primitives are defined to facilitate GP to solve the problem. Experiments have been conducted on both synthetic and real-world networks. The results have validated the effectiveness of our proposed GP based method compared to several state-of-the-art TSC methods in terms of accuracy and interpretability. © 2024","Genetic programming; Symbolic regression; Traffic signal control","Genetic algorithms; Heuristic methods; Learning systems; Traffic signals; Urban transportation; Control methods; Interpretability; Number of vehicles; Pressure methods; Signalized intersection; Symbolic regression; Traffic signal control; Traffic signal control system; Urban areas; Urban networks; Genetic programming","Elsevier B.V.","","","","","","22106502","","","Article","Final","","Scopus","2-s2.0-85192989951"
